,datetime,description,icon
0,2025-04-07,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,2025-04-08,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
2,2025-04-09,Clear conditions throughout the day.,clear-day
3,2025-04-10,Becoming cloudy in the afternoon.,partly-cloudy-day
4,2025-04-11,Cloudy skies throughout the day with rain or snow.,snow
5,2025-04-12,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
6,2025-04-13,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
7,2025-04-14,Becoming cloudy in the afternoon.,partly-cloudy-day
