,datetime,tempmin,temp,tempmax
0,2025-04-14,4.8,11.6,19.4
1,2025-04-15,9.0,12.6,18.9
2,2025-04-16,5.0,7.9,10.7
3,2025-04-17,4.9,10.0,15.6
4,2025-04-18,4.8,12.6,18.9
5,2025-04-19,13.4,20.1,28.3
6,2025-04-20,11.1,16.2,21.7
7,2025-04-21,6.6,9.2,12.9
