,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-04-14,19.4,4.8,11.6,19.4,1.2,10.4,-0.3,49.7,0.0,0,0.0,,0,0,44.6,22.2,297.5,1007.1,47.3,15.9,368.4,32.0,8,10,2025-04-14T06:04:25,2025-04-14T19:25:14,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2025-04-15,18.9,9.0,12.6,18.9,7.1,12.2,6.4,67.1,2.23,100,33.33,rain,0,0,83.1,56.9,220.9,997.4,82.3,15.8,521.5,45.0,8,10,2025-04-15T06:02:49,2025-04-15T19:26:21,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2025-04-16,10.7,5.0,7.9,10.7,-0.1,4.4,-2.4,48.4,0.0,0,0.0,,0,0,60.7,36.8,268.6,1001.3,55.6,16.0,536.9,46.4,7,10,2025-04-16T06:01:13,2025-04-16T19:27:29,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2025-04-17,15.6,4.9,10.0,15.6,0.4,8.1,-4.1,40.6,0.0,0,0.0,,0,0,48.2,31.5,275.7,1014.6,39.1,16.0,601.2,52.0,7,10,2025-04-17T05:59:38,2025-04-17T19:28:37,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2025-04-18,18.9,4.8,12.6,18.9,3.8,12.0,-4.1,32.3,0.0,0,0.0,,0,0,55.7,33.3,215.1,1021.5,51.2,16.0,455.1,39.2,8,10,2025-04-18T05:58:04,2025-04-18T19:29:44,0.69,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2025-04-19,28.3,13.4,20.1,27.8,13.4,20.0,10.4,55.3,0.016,100,8.33,rain,0,0,56.9,34.8,223.2,1011.8,90.6,16.0,434.3,37.5,8,10,2025-04-19T05:56:30,2025-04-19T19:30:52,0.72,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2025-04-20,21.7,11.1,16.2,21.7,11.1,16.2,-1.3,33.4,0.0,0,0.0,,0,0,79.6,51.3,298.4,1018.8,48.5,16.0,497.4,42.8,6,10,2025-04-20T05:54:58,2025-04-20T19:32:00,0.75,Partially cloudy,Partly cloudy throughout the day.,wind,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2025-04-21,12.9,6.6,9.2,12.9,3.8,7.6,-4.1,39.2,0.0,0,0.0,,0,0,36.2,31.4,144.0,1025.0,67.1,16.0,546.6,47.4,8,10,2025-04-21T05:53:26,2025-04-21T19:33:07,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
