,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-04-21,12.9,6.6,9.2,12.9,3.8,7.6,-4.1,39.2,0.0,0,0.0,,0,0,36.2,31.4,144.0,1025.0,67.1,16.0,546.6,47.4,8,10,2025-04-21T05:53:26,2025-04-21T19:33:07,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2025-04-22,14.5,7.9,10.1,14.5,6.0,9.2,7.9,87.3,8.323,100,20.83,rain,0,0,37.1,23.8,91.7,1014.6,84.0,9.4,427.1,37.0,7,10,2025-04-22T05:51:55,2025-04-22T19:34:15,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,AV085,KBED,0518W,KBOS"
2,"Boston, MA, United States",2025-04-23,18.4,9.5,13.6,18.4,7.5,13.3,2.8,49.6,0.0,0,0.0,,0,0,18.4,16.6,299.0,1020.5,19.5,16.2,316.0,27.5,9,10,2025-04-23T05:50:26,2025-04-23T19:35:22,0.86,Clear,Clear conditions throughout the day.,clear-day,
3,"Boston, MA, United States",2025-04-24,16.7,9.5,13.2,16.7,9.5,13.2,3.5,52.6,0.0,12,0.0,,0,0,24.1,14.8,136.7,1025.9,23.1,16.3,306.0,26.4,8,10,2025-04-24T05:48:57,2025-04-24T19:36:30,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Boston, MA, United States",2025-04-25,18.9,12.3,15.3,18.9,12.3,15.3,6.0,54.3,2.4,26,4.17,rain,0,0,25.9,16.6,193.8,1022.0,51.3,17.6,238.5,20.5,6,10,2025-04-25T05:47:29,2025-04-25T19:37:37,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Boston, MA, United States",2025-04-26,17.3,12.7,14.9,17.3,12.7,14.9,9.3,69.7,6.0,83,25.0,rain,0,0,38.5,22.7,231.3,1015.8,78.8,23.2,139.0,11.8,5,10,2025-04-26T05:46:02,2025-04-26T19:38:44,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
6,"Boston, MA, United States",2025-04-27,15.0,9.2,12.0,15.0,6.6,11.5,1.8,50.4,1.5,64,12.5,rain,0,0,34.9,19.1,332.0,1025.5,28.6,24.1,334.3,28.9,8,10,2025-04-27T05:44:36,2025-04-27T19:39:52,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
7,"Boston, MA, United States",2025-04-28,19.2,10.0,14.6,19.2,8.6,14.5,2.6,45.5,0.7,11,4.17,rain,0,0,24.5,13.7,256.8,1023.2,35.9,24.1,240.3,20.9,7,10,2025-04-28T05:43:12,2025-04-28T19:40:59,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
