,datetime,description,icon
0,2025-04-21,Partly cloudy throughout the day.,partly-cloudy-day
1,2025-04-22,Partly cloudy throughout the day with rain clearing later.,rain
2,2025-04-23,Clear conditions throughout the day.,clear-day
3,2025-04-24,Partly cloudy throughout the day.,partly-cloudy-day
4,2025-04-25,Partly cloudy throughout the day.,partly-cloudy-day
5,2025-04-26,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
6,2025-04-27,Partly cloudy throughout the day with a chance of rain.,rain
7,2025-04-28,Partly cloudy throughout the day.,partly-cloudy-day
