,datetime,tempmin,temp,tempmax
0,2025-04-21,6.6,9.2,12.9
1,2025-04-22,7.9,10.1,14.5
2,2025-04-23,9.5,13.6,18.4
3,2025-04-24,9.5,13.2,16.7
4,2025-04-25,12.3,15.3,18.9
5,2025-04-26,12.7,14.9,17.3
6,2025-04-27,9.2,12.0,15.0
7,2025-04-28,10.0,14.6,19.2
